Jd9c8d3h2s 
Ad8c7s5h2s 8h6h5d2s2c 9h8s6c4d3c KhTh7h3s3d 
Kd6c3s3d2c Qd8c7s6d3d AdQc9h6h2s 5h3s3d2s2h 
Qd9c7d6s2h Ts7d5h4d3d Jh8s6s5d2s Js8h7d6d3d 
Kc9s9h8s3d KcJc9s4c3c ThTc4c3d2d KdJc8s7h2s 
Kc9d8h4h4d Qc9s6d5h2s 8d6d5h4d2d Th8d4d3h2s 
Ah8d8c7s2c KcQh8d3h2d Ks9s5h4s4d Ad9s8c6s2h 
Qh7h6h6c3s Qd9s9c5s2h QhJd9d3s3d QcJd4h3c2s 
Ks6h6c2h2c Kh9s9c8s2d JsTh6s4d2s QcTd7s3s2d 
Th7c5s4c3c As9c8d3c2d JsJhJc9c8h 8h7c6d4c2s 
Kc7d4d2d2c QcJd8d7h3d Jc9h8h6d2h KhQc5c3c2d 
JhTc7d6s2s Ks8h7c5s2s Kc7h6s6d2c 7s7c4d3h3d 
Td5c4h3h3c QcJd5d3h2d Tc4s4h2s2h KcJh5s5c2c 
Qs9c8c5h5c Qs9h9c4s3d KsKhKc6h6d 8h6s5d5c2d 
5s3d3c2s2c AdTs7s6s2c Qc8c5d4s2h Qc7h7c6c4c 
9s9d7c6d2d Kd6s3h3d2s Qs9h9c6s2s 9d9c6d2s2d 
Kc9c7c5h2d Jc7h4h4d3d 7c5c4h4c2h TsTh4h3c2c 
Td8d6s6d2c AcKc4c2s2c AsJd7c5h2c 8h5s4c3s2h 
Qs9h6h5c2d 9s8c6h4c2d Kh7s6h4c2d KhJs5c3h2h 
QhJh9c2h2d Ts9c6h6d2d Qs8s8d6h2s Qs8c7d6c3h 
Qh5h5d4s3c JdTc7h6s2h 8h7s5s3h2h AcJs6s4d3s 
Jd9s5c3s3h 8d6h6d3h2h Kh9h8h6h3c Jc9s9c7h2c 
9c7c5c4d3c As8d6d5h3c 5s5h4d4c3d QsTs9s3d2s 
AhQd9c6c2s KdQd8h3d2h KdQc8s6s3h Th7d6c2h2d 
7d6s6d3s2d Th8d6d3h2d 9h8s4c2s2h Kc9h6h6d4s 
5d5c4s2h2c 9h8h5c3h3d Ts8c4c3h2s Jc7c5h3h2c 
QcJc8s4d2c Tc9s8s4s3h AdKh9s3s3c QhJh9h3d2c 
Kd7c6h5d2d QdJh5s5d2d Tc8c6h4c3d KsKdKc4c2d 
Qh7c5c3s2h Jh8d7s7h3c Td9h7c5s2h KdQsQhQd6s 
KdQs4d4c2d KhQh8s6h3h Tc8d6d5h2d Qc9s5d4s4h 
QdTc6s3h2d Td8c4c3s2d AhQh8s3d2h Kh9h8h6h3d 
QsTd6d4d2h Kd9h6h6c4s Ts7c5c4h3c Td9c8s4s3s 
9h8s7h4d3c KsJc9h6d2h Kd9s7s7h4s Tc5h5d4d2c 
