8s6c4d3s2c 
Qd8h7c5d3d Qs9s9h4d3s Jd8c4s4c3s QdJh6c4c2s 
Ks9d8h2h2d Jh8s7c4h3d Js9s5h5d2c AcKs9h6h2h 
KcTh7s6s2s As8s5h4s3s QsQd7h6h2h 9s6h4h3c2s 
KhJh6s4d2h Js9d6h4c3d Js8d5h3s3c AdQd6s3h2d 
Ks9c8d7h3d 8h6h6d2h2c Qs9h9c8c2c 9s5h5d3h2d 
TsTc6d4d3d KcJh7h5d2h 9s8d5h4c3h KcJc5h3c2d 
Qc6s5d4s3s Qs8d7s6s3c Kc9h8s5s3d JhTs4s3c2d 
Qh8c5h5d2s AsTc4d3d2c Js9d8d7d3d JsJd7h5c2c 
Th9c8c3s2d Ts7s6d3h3c 8h8c7d4s3d QcJh8d7s3s 
7s6s6h5d2s Tc5c4h4c2h KsJs6c3s3h 9s6s4c3d2d 
Kd9s8h5h3c 8s7d6h4c2h Tc9d6h6c2c Qc8h5s4h4d 
QsTc7s5s2h 9c8c6s6h2d 9s8s5d4c3h Ah9c8d6d2d 
Qc9s8d5d2d AcTc7d4c2c Kh9s9c5d3d 9c8s4s4c3c 
KsJc7c5h2c KsJd8c5h2h Jh9d8h6h3h Th8c4s2s2c 
9d8s8c7c3c Jd6d5s2s2d Ks9c3c2s2d AhTc5d4c2s 
Kh7c6d4s4d KsTh9h3c2h Kc8c6s4c3h KhJc9s7s2s 
9d7h7d6c2s 7h5h3s3c2c Qh8c6s5c3c QcJd5s5h2s 
9c5h5c3h2s Th9d6c4s2h ThTc6c5s2c 8h7c5s4h2h 
KdTc7c4c3c Kc9d6h4c2s QdJh8s7c2s QsJs4s4d2c 
Ks8h6d5d3d 8s8h7d4h2c Ah9h7c4h2s Jd8d8c5d3d 
Kh7c5d4s4c KdJd9d4h4c Ks5c4d3c2d Ah8c6h2h2d 
Js9s9c6s2h 7h5h3s3d2s KhQc9c4s2d 8c7c6h6c2d 
Qh9s8d8c4s AdJs8c2s2h KsQc9c4h2d Ts8h7s5s2d 
Kd8s7h5c3s AdTs5c4s2h Jc8h7d6s3d Ks9h6d4s2c 
7h6c5h2s2d Th8h4s3c2s KsTc8d5h2h 9d6s5d4h2c 
8s7d6c4h2c 8d6h6d5d3d Qc9d7d4c2c 8h6h4h3d2d 
Qc6d5s5h4d Ts9c7c4c3c QcJd4h2s2c Td9h8d4s2d 
Qc8h8d6c2c Js5s4c3c2s Jc9s8s5s2s KhTs7c6d2c 
Jd9c8h6s2s QsJh9d6d2d Qc7c5h2s2h Ks7c6h4c3d 
8h8d4s3h3c 8d7c6s4d2d Js6h4h4c2s Td7s7d4c3d 
Tc9d5d3h3d Qd9s7h4c3d Jd8s5s5h3c Qh6s5c3h3d 
KhJh7d6c2h KdJd5s3d2c QdTc6h3s3h KdQh9c4s3c 
Qd8d7d5s3h Jd9s3d2s2c 8d6d4d3c2c KcQc9c6c2h 
9c6s5d4h2c Ks9s5h5c4s KsQh9d4d3c Ad9s7s4h2h 
Ad8c6s5s2h Qs9d4h4d3h 9c7h7d6h2s Qd8h5d4c3d 
Qc9h7s4d4c Jh7d5c4d3d Kd9s7h7c2d Qh8d5h3d2h 
Th7c5c4c3d Js9h8h7h3h 9h7h7c5h2d Qh9d9c8s2s 
