Ac9h4d3c2s 
Qc9s5h5d4s Ts8h8d4h3h QhJc8s8d3d 9c6s5s4s3s 
KcQc9h6c2c Ad8s6s6c3h Qd8s5d4d3h Td7h7d3c2c 
JsTs9s3s2s AhTd6c4c3c Tc6s6d5d3h JhJd8s4s2s 
KsJs5s4h2s Jd9s9c4d2h 9s8h7d7c3h Qd9s9h4s4c 
8s5s5d3c2c 8s8h4c2s2d Td9c8s3h2c Qc7d6h6c3c 
Ad7d6d5h2d Qh9h5h3d3c Th8c5d4c3c 6h6c5h3d2s 
As9s3d2s2d KsJs7s4c2d As8d7h6c2c AdQs3c2s2h 
Jh7s4s4h2d KsJc9h2d2c Qs5s3h3c2h Qd5s3d3c2s 
KhTc5s3s3d Qd8d6d6c3s 8c7h6c4s2c QsJh7c3c2h 
Jc7c5c4c3d 8h7h6s4d2h 8c5s5h3h2s 8s7s6h2d2c 
Th8d7c5s2c AdQs8s4h2s Jh9s9d4c2d QhTh6s6c2h 
AhQd9c3s2d 6h5h4h3s2d Jh9h8h8d2h Jc4d4c3s3h 
Qd9h6s6c2d QhJc9c2s2c QdJs9s2s2c Jc7c5h4c3c 
AdTh6d2d2c 4d3h3c2d2c JdTc7s6s2s Js7h7c6d3c 
As8c6c5d2h Th8d5c4d3d Qh9s5c4c3d Qs6s5c4s2d 
Kc8c5d3d2c Qc4h4c3h2s 8d7c6c3c2d Tc8h5s5d3c 
Qs9d7d3s2d Qc8s6s4s4d AhQh7c2h2d AcQc6s2h2c 
Ks7s6c3s3h Kd8d5s5d4d Kd7d6h2h2d Qs9d6s6c2s 
JhTs7h7d2h Qs8s7s5s5c As9c8c4h4d 7d5s4h3h3c 
Ac9s8s4d3h 9h6c5d4h2s Ks8h7s6c2s 9c8c3s2s2d 
Ks9s9d3s3h TsTh5s4s3s Ts9s4s4c3d QcTs8s3h3d 
Qd9s6h5h2c Qs9c7c3s2c KdQd4h3d2c Kh7d6s4c3s 
KdJh8c5c2c Qd6s5c2s2c 5s5c4s3s3d Kh7s7d6c3d 
KhJd8c4h2h Qd8h7c5c3s JsJh8d3c2s Td8s7h7d2d 
Jd7c6h4h2c Th8c7d3h2c Jh7s7d2s2h Ah8s6s6c3d 
Tc9s8s4s2d Js7s7h4c3d 9d8c5s4d2h Js4s4d3h3c 
Qs8h4c2s2c KcQd6s4h2s Qs8h5d4s3s Jc7d6s5c2h 
Kd7d4s4c3h KhJd8d6s2d KdJs7c6h2s Jh7c6d2h2d 
9s8d6h4s2c Js8c5s4s2d Ac9s6c4c2h 9c8c6h4s3c 
KsQc6h3c2d Kd9h9d4d4c Th8c7h3s3d KsQd9d3h3c 
QsJsJdJc8c 8h7d6h4s2h Qd6s4d2s2h KsQc9d3h3c 
AdTd4s2d2c KhQc6s4d2s Kd8h6h3d2d 7h7c5d4s2s 
Ts6h4h2s2c As7d7c4c3c Js8s7h5d2s KdJh9c3s3h 
AdJh6c4s3c QhJh9h7d2h Js8s7h5c2s Td5h4d3h2s 
Kd9c5s3d2h Jh9s5h4h2c Qs8s6c2s2c Ac9h9d3s3h 
Ac8c5h5c3c Qs6h5h4d4c Qh8d6c5s2s Qh9c3c2s2h 
QhJd8s4c3c QcTc8c4s2c JsJh4h3c2d KhJc7s4h2h 
9d6h6c5s2c Qh7h5c3d2c Ac9s8s6d2s Ks9d8c5h3h 
Qh6h6c3c2c QcJs9d2h2d Jd8s7c6h3h Qc7h7d6s3d 
Td8d5h4d3s Jd6c4h4d2h Qs6h5h4c3h Ad8d4h4d2s 
Qs6h4s4d3c 6d5s4s3s2h Td6h5h3c2c Tc8h6h6d3h 
QsJh8d8c3d 7d6s6h4s2c 9d8h4c2d2c Jh7c6c2s2h 
Kc8c4s3d2d KdJd8d6h3d Ad9s7c4s2c 8h7s6s3h2h 
KdJs8s6h3s AcJh8h4h3h QhJs6s4s2c QhJs8c3d2h 
KhJs7d6c2s JcTs8h3d2d Ks7h5h4h3d 9s8h6c4c2d 
KsTs5s5d2h AdTc3h2h2c Jh9c8c4s4d KdTh5c3d2d 
9c8d6c4s3c Qh8s7h6h2c 9h5d4s4h2d Ac9s6s6d4s 
Jc4s4c3h3d Kh8c4c3d2h QcTd7d6s2d Tc8d7s4s3h 
KsTc8c7c2c Qd7s4s4d2h Kd8d8c4h3s Jc6d4d3c2d 
Qs8d4c2s2c Th6s6c4d3h AhTd7s6c2c AsQd9c3h2d 
9d8s7h3h3c Ts8h7s5d2s Ad7s7h5c2c AsQh6h3h3c 
5h5d4s2s2c Kd7c5c4s4c Qs4s4h3c2h Tc8c7s4c2d 
AhTh6h5h3h TdTc8s3c2h 9d8h4c2h2c QhQd8s4s2s 
AdKh7c3h2h JhTc7d4s2s 9h8d5h5c3h Qh6s5s4s3c 
Kc8s7d5h3d Qd9s7s3s2d Td8h7s7d3d Kd9d3c2s2c 
Jc8c4s3s3c As7c5c3d3c AcKd7d2h2d Kd9s8h6h3h 
As8s6d4s3s 9h8d8c4s3d 8d7d6c4h2d AhJd7s3s3c 
QhJc4h3h2s KsQh7d4d4c Jd7s7d5h2c Ks8c4c3h2s 
AcJs8s3s3h Js7s7d4c3h 8h6s6c4d2h Kh8h8d7c3h 
Qc8h7d5s3s Js9s8s5s3s AcTh6c3c2s Kd9c7s7h3c 
Kc7s7d6h3d JhTc7c4d2c Kd9c8h6h2s AsTc6h4h3h 
KhTc7d5c2c Tc9d7d5h2d 7c5s3s3d2d Qc9h9d7s2c 
Qd6c4s4d3h AsQc6c3h3c Jh8s5c4d3s Th9c7s7d2h 
QhTh8d3c2h Jh9s9c6s2s Qc7s7d5h3s Kd9c6c5h2s 
Td9s7h4c2d Jd5s5h3d2s 6c5c4h4c3s Tc7s7h4s3s 
KsQc9d8d3d Td8h6c4s2h Jh7s6h4h4c 8d7d6c2s2h 
Qc9h7h3h2c Jd8h5h4c2h 8d7d5d3c2c 9d8s7c2h2d 
QcJc7c5s2d 9h9d4s3s2h QsJd4s4c2s AdQc6s4c2c 
Jc8s7s3c2h JsTd5d2h2c 9s8c5s4h2d Qh9d3d2h2c 
Js8d7d3s2h Td9s6c4h2s 9d4d4c2s2c Td8d7c4d2s 
6s5c4c3c2d AcQh6d4h2h Js6s4h4c2h 8c7h6h3h2c 
AcQs5s3d2s As9h7d7c2h AsQs5s3d2s 6d5c4s3h3d 
Jh9c3s2s2h Td6s4c2d2c QdJh5c2s2h QsJs8s4s4h 
