AcJd8h4h2h 
Qs9c8d7c3c 8s8h5c3d2h Ad8d6d4c3d Kc9h8s6d2s 
7c6h5h2h2d AdJc5s5h2c 8c7d7c6c3c Jh8s5d3s2d 
JcTs7s3d2h KdQs6c3h3c KcJh9s3c2c AcJd9h3s2d 
9c8d5s4h2h Qh9d9c6c2c JhTs7h6h2h Kc6c5s3c2h 
9d8s5d4d3c Th8c7s7c3c Th9d4d3d3c KsQd9h4h3h 
9s8c6c4h2c Kd8d7h7d3s 9s9d7d4c2h Jc9d6d5h2d 
9c8h6s4c3c Ks7s7h6s3s Tc8c5c4s2h Qs9s7c6s2h 
AdJc7h6s2c KdJh9d3d2s AdTd4s3d2h QhTd7c6s2c 
KdJc8c4s3c Td6c4s4c2s Td9c7d5d2d JsJc7h4s2d 
Kh9s9d8c3s JdTd6s6d2h Qh5s3s2h2d 8d7s5s4s2s 
Kc9s6h6d3d As9c7c3d3c Qc9c4s3h2h Tc7c5c4d4c 
Jh7c6h4h3s Qd9s8s7s3h Kc9d8c6c3c AcTs8c3c2c 
Td9s8s3h2s Jh9c7d4s3d 7d5c3s3c2d Tc8s4s3c2s 
9h8d5c2s2h 6d4d3s2s2c 6c5d4h3c2c Tc9d7s2h2c 
AsQh6h4c2h 9s9h8c3d2s Kd9c7h7c3c Qc8c4s2s2d 
AhQc8c4c3c Tc6h6d4s3h 8s6h6c4s3s Qc6c5c4h4c 
Qc5s4s3h2h Ad8d5s3d2c Th7s6s2s2h AcKs9s3s2h 
7s5s4h4c3d Tc8c6h5c2c Th8s8c4d2d KcJc7c5s2c 
Ah5h4h3h3c KdTd5d3h3d 8s8h5d3c2s Qc7h6s3s2c 
KhJs5c3d2s Ks5s4c3s3h Tc6h6d5h3h Qs8c6s6d3s 
JdTs4h2h2c Kd8s4c3c2d 6d5h4s2d2c 9d8h7s4h3c 
AcJh7s4h2d KcTs5h5c2c Qd9c8s7c3c Kd8s4s3d2c 
Ks9d3s3c2c KcQc9h4d4c Kh9s8c7d2d Th8d6s6d2d 
Jh6c4h4d2c Ts9c6d4c2h Jc6d5c3d2d Qd8h8c7s3d 
Kd7s7d4c2h Jd9d8c3s3h TdTc7s5d2d 8d8c4s3s2d 
9c7d7c6c2s Qh9s6s4d4c QhJs7c4d3c JdTd7h3c2s 
Jc6s4d3s3d Qs6s5s4s4d Qs5c4c3h2h Ac7c5c4c2h 
Qc6d5h4c2c KcTd9s3s2s Ac8c5d3c2h AdTs7c4h2s 
