9d5d4h2s2h 
9h9d8c4c3c Tc8d6d3s3d Qd7s7h5h3h QsJc7h7d3h 
KdTs8s4c2s Qs8s6s6h2c Kh6s6d5d2c 9h7s4c2h2c 
6c5d4c3s2c KhTh8s2h2c QcJs8d2s2h Js5c4c3s2c 
9s9d5h4h2c Ac9c6c4d2h KsTs5s4h2s Tc9h6s4h2h 
Qd9s8d4h4c Jh6h4s3s2c As9h7d7c2d JsJdJc9s7c 
8h7s5s2s2d KsJd7d6h2d 8s5c4c3c2s Kd9h6c4s4c 
TsTd5c4d2d Kh3d3c2d2c Qs5h4d3d2h Th7d6d3s3c 
Tc8d8c4c2c Qc9s9d7s2h Td9d7s4c2h Ac7c4h4d2c 
6d5s5h4c2c As8h4s2s2c Kd8s8c4d2h AdJh9s4c2c 
7d5s3c2s2d KdQd6s3h2d 8d6c3h3c2d Jh9h6h5h2d 
Jh9s7c6d2d 7s7c6h4s2s Tc5d4d4c2d Kh9h7h4s4c 
Kh9h8h5h2d AsKd8d3d2c Qd7h6h4c3s Td7s7h4c3c 
6s5d4d4c2h Kh6c5h2h2d QhTc8d2s2d JdTs8d3d2d 
AdJd6d3c2s 7c5d4h4c2s Qc9h8h4s3d 6c5s4c3d2c 
Kd8c7c5c3h 6s5d4s4c3s Qs9c6h5c2c Qc7d6h4d3d 
Jc8d5c3h3c Jc6s4h3c2s Jh8d6h4s3h KdQc6h3s2c 
KhQh8d5h2h Ts7c5d2d2c Ks9c8h2s2d Qc9d7h6c2c 
Js8s5s4s3c Td8h8c4h2h Qd4h4d3c2c Jc6d6c3d2s 
Qc8d7c4h4c KsQd6h3c2d Js7h6s6d3s KdJc5c3h2c 
KsQc8c6c2c KhTd7d3d3c Jc8s4c2s2c 9h7c4h2s2c 
Js9d8s2s2h Th8h3d2s2d 9d7h4h4c2c Kc8h6s4h4d 
9c8s6c4h2c Th7c6s3h2c AcJs6d5d2d Th9s7d4h2h 
