Qs9h6s4s3s 
Qc8h7c6s2c KhQs8h8d2h 6c5c4c2h2d Jc8c7s6c2h 
8h6h5h3c2d Qc7d6d3d2c Td6h4d2h2d QhJh8d7h3h 
QdTs7s4h2c Js8h8c4c3d 9h8h4s3d2s Jc6s4c2s2d 
KdQh9c7s2c Td7d6c5d2h Jh7c6d3s3h KdJd7d6d2c 
7d6d4h4c2s As7c3s2h2d Td7s4d3c2s KcJs9d4s2s 
KcQh9s3h2d Jd7h5s2s2h Qh7c6c3c2h KsQs8s7d3s 
Qd9d6d4s4d Jh9d5s2h2c Qc9s7h4s2h Td9d5c4d2s 
AhTd5d4s2d KhJh7h7d2s Td8h5s5h2c 9h8d5d2d2c 
8h7h4d3d2c KcQs6s3s2d Ks7h5c3s2d AcTd6s6d2h 
9h6s5d5c2h 9h8s7d4s3s 9h6d5c2s2h Jh6h5c4h2d 
As8s4s3h3c Qh7s5h3h2s 9d7h4s4h2d Tc6h5h4s2d 
8d6d5d3c2s KhQc8d4s2c Tc6c5c4s2h Qs8c4h3s2c 
8c6s4c3h3c Th6h5h5d4h As8h6s4s2s Tc7h6d5h2s 
Th9d7c2s2d 8s6h5c3d2s 6s6d5d3d2h QhTs7s4c2d 
Tc9d7h4h2h Tc8h7c4s2c AhQd8s3c2d Qh8s7s5s3c 
Kd9c6c5h2c KdQh4c3s2s KsQd7d4h2c Th7d4h4c3s 
6d5h4s4d2c Ts8s7c4h2s Jd9c3s2s2c Ad8h5c4s3c 
KhQh3h3d2s 8h6c4h3s3h JsTs6h6d2s Qs5s5d4c3s 
Jd8d6s6h2c 6h6c5c3c2d Qs7s6d2s2d Ad9h5c4c3s 
Kc8h8d7h2s Kd8c6c4s4c 9d8s4s3h2d KdJs8s8c3s 
Kd8h8c6c3s Qd7c6h4h3h 6c4d3s2d2c QhJh7h5h2d 
Th6s5s4d2c Qc7c4h4d2h 6s5h4s4c2d KhJd6c4d2d 
Td6h4h2h2d 8h7d4h3s2s Kc6h4h3d2d Tc9s8h3h2h 
AdTh5s4c2s Kd8d7s3h3c Jd5h4h3h2d Ks8s8d3h3c 
Tc8h7d4c2c Ad4h4d3c2d AhKs9d4d2c JdTc3d2s2d 
Ah7d6h3h2s Th9s6s4s2c Th7d5s4h2c 9d5s4c2s2c 
QcTc6s2h2c Qc8h4h4d3d Kh9c8d5s2d Qh8d6d4d3s 
Jd8s4d3h2h KsQd5h2h2c Qc6s5h4d2d AdKd8d4d3d 
Qh9d8c3s3h 9h8d5c4c3c Th8d5h5c2h Kc9d4d4c2c 
Qh8c4c3h2s Th9h6d3h2s 9s6h6d4s3s Ah7d7c4c2s 
