Jc8c6c5c3c 
Td9d6c2h2d KsQc8d7d3d Jh9c7s7d2s Jc6h6c3s2s 
Kd8c3h3d2c 9h8h5s4c2h Tc7c5s5c3c AdJh5h3c2h 
9d7s3s3d2s Kh6d4s4h2h AhQd9s4s2c Th7d7c6s2c 
KhJh3h3d2c Th9c7c2d2c AcJs4d2s2h Td9s4s4h2s 
8s5d4h3d3c 7c6c5s3d2c Kh9d7c6s2s Ah9s9c5c2c 
KcJh7s6d2d 9c7s5c2h2d Jh8s7d6s2s Kh8h7d5h2h 
KsQc3h3c2c 9s8d7c4d2h Qh8s5c4d2c QdJh3s3c2s 
KhTh7h3s3h JsJdJc8d7s Jh9s4h4d3h Jc9d5s3h2h 
Qc9d4h3h2d KdTh5c3h2s KdTc5s2h2c Kh9h5h5d2s 
Js8s8h7s2s Ks9s6d4c2s KhTs7h3h2c Ks9d7d4h3d 
Jc8d6c4c2s Kc9h6c4c2s 9h8d4h3d2c Qc8s8h3s2h 
Js8h7c6h2h 7s5h5d4c2c Jh9s9h3d2h 9d6h5d4d2d 
Ts9h5c3h2d Th9c6h3h2d Ac4c3c2h2d 8c7d4s4h3c 
As7h7c6d2c Kh5c4s4c2d KsJc7h6d2h Kc9h5d4h3h 
Td9d7d4d2c 9s7d3c2s2d QsJh7h6h2c AsQh4c3c2d 
Tc9c5s5h2c KcQc4c2h2c Qs9c5s5h2s Ks8h3h3c2s 
Ks9h7h5h2c Kh8c7h4h2d 8h6h3h3c2c Ks8d7h5d2d 
Kh9h6s4h2d As5s4s3s2h Jc7d7c3d2d Jd6c5c4c2h 
Ks8s7s6c2s Qs8h7d6d2d Tc9s6c4c2c QsTs8h3s2s 
Qh9d4c3c2d Kd9h7c6h2h Jc9d8s3s2h JsTh3d3c2c 
Qs8s4h3s2h 6h5s5d3c2d QcTh5h2s2h 9d7c6h2s2c 
9h6s5d3d2d Ts7s5s5h3s Td7d6d4s2c As8c6h3c2h 
8h8d6d3c2d Kd7d3h3c2c Ah7d5s5c2c 8s6c4d2h2c 
Ac9h9d5s2s KhJc6s4d2s KsJsJdJcTs 9d8d5s3c2d 
Qs8d7h4h4c Ks9h9c2d2c Kd7s4h4d3d Tc5s5h3s2h 
8s5s4s4c3h 7h4s4c3c2h Qd9h6s6c2s Th7s4d4c3h 
7s7c6d3s2h 8d5d4d4c3h KsTd6c3d2h Qd9d6c4d2h 
QcTd6d3d2d KdJs9c3h2c 8h5s4d4c2c QsJs8s3d3c 
Ts7d4h4c3s JdJc7h4s2s Td5h5c4c3s Qd8c5s4h2c 
Kh7s7h4h3h Ks9s7s6s2d Ah8c6d4c2s Ad9d6d3h3d 
Js8s4s3d2d 9s6h4h3h2s Ah9s8d4s3c AsQd9c3d2d 
6s6d4h3c2d Qd8d5d4d3c 9d7c6s4h2d Qh9h5d4s2h 
Js6d5d4d2h Ts9c5h3h2d Qd8s8d3s2d Kd8h7d4d2s 
KcTs5h2s2d Qd6c4h3s3d Qc8s7c4h2d 7h6s5d3s2s 
KdTs5c3c2h Ad7h5s5c2c Qs5h4d2s2c Qc9c8s4c3h 
Ah9c6c5c2d As9d5h4c3d Td8d8c3d2h KdQd4d3d2h 
Ks8h7c6d2d KhTd7h2s2h Ah6c5d4d2d 8c5s5h4d3d 
KdQh9c4s4c Td5d5c3d2c Qh6d4c3s3h Qs6s4s4h3c 
Ts7s7c5d2s Jh7s7d3d2h 9h9c7h4h2s Qc7h7d5c2s 
Jh8s7s3c2c 9s7d4d3c2c Qs6s5d5c2s 9s9h7c4c2d 
Qd7s7d3s2h Kc7h4d4c2s ThTc7s4s2d Ah9d9c5d2d 
Kh6s5d5c2s Jh8s7d3h3c Kc9d8c4s3c KdQh7h7c2s 
Qd9d8d7d4d Js5h5d3d2h Ac8c3d2s2h As9h6d5h2h 
Tc5d5c3d2c Jc6s6h4c3c 9s5d3d3c2c Kd6d4h2s2c 
KdTs7d3d2h Qh9d8h3s2h AsQc8c2d2c 9s7h3s3h2h 
7s4s4h2s2d Js9s6s6d2c AhJc7d6d2d Jh9h3c2h2c 
