Qh9s7d5s2s 
AsTc5s3s2s AsTs4s4c2s 8d5c4d3s3h Qh7c5s3s3d 
Jd7s6h5s2s 9s7c4s3s2c Qs6h5h3h3c 7s4h4d3s2h 
AsQh9d3c2d Td8h4s4h2c Tc6d3c2h2d 9s7s5c3s2h 
Th8h4s3h3d 9d7s5d4d2c Ks9c6c5c2c Ts7c6c5h2c 
9d8s4c3h3d Td6c3h2d2c Ad9h4d2d2c Tc9c4d3c2h 
7c6c5s3c2c AhQh8h3h2d Kc8c4h4d3s Qh8d7c6s2c 
Qh8s7h7d2h Ad8h6c4h3h Tc8c6d3h2s Qd8s5s3s3h 
9s8s6s4d2s Ts8s7h2s2c 9h7h5h3c2d Jh9h8h3h3d 
Jc8d7h4s3s 9d6d3h2h2d Ac6c5c3h2c KsJs3s2h2c 
8d5c4h4c3c 9h8d4s3h3c Ah9c5s4s3s Kd6h5c3c2s 
Kd9d8d4s2c 9d9c7s3h2c Jh7s7d5h2h Ad8h7h2h2c 
KhJd6s4s2s AcJd8d3s2d Td8c4s4c3c 8d5h4c2s2h 
8c5d4c2s2h Qd7h7c3h2d 8h6c4c2d2c 9s7h4d4c3c 
KhJc8h3d2h 7c6d4s3c2h 9c5s5c4d3c QhJc3c2d2c 
Ks8c5h4h2d Qd7d4s4d2s KhQd8s4d2d Jh9h6d3c2s 
Jh8h6h4c2d 9c8c6c3h2s Kd7s6c3h2d Ad6s6d6c5c 
Kc7s7h5d2s AhTs7d2d2c 9d6s6h4s2c Qd8h7c5s2h 
9d5d3s3c2c Jh7s7c3c2s 9d6d5d2h2d Jc8c7d4c3c 
Ts8h4h4c3h 9h7h4s3h2s QcTc7c3h3c Jc8s4s3d2d 
9s8h8d3h2h Tc5s3h3c2h Td8d3s2s2d JhJc8s3s2d 
7s5h4d3d2c Ad9h9c3d2d 9d7h6s4c2c Kd8s5s4s2h 
Th7d6s4h2h 9s7s5d3c2s Th6h3d3c2c Jh9c5c2s2c 
Ad6h4s4c3s Js9d9c3d2d AsTs4s4d2s KsTd4h4c2c 
AhJc8d3c2c Ts5c3s3h2c Qh9h7s6h2h Ac8s6s5s2s 
Jh7d6c3d2c QhTh7h3h3c As4d4c2h2c 8c5c4s4d3h 
AcJs5d2h2d KsJc7d4h2h Qh7s7c3c2h 6d5d4d3d2c 
KsKhKcTs7s Qd8s7s4s4c JsJhJcTd9c Kd7s6s3s3h 
