8h5c3c2h2c 
KcJc9c4c2c As8h6c3d3c QcJs8h2h2d Th5s3d2h2d 
JhJd4c3c2c Th7s6d6c2d KsQd9c4c2c Qd9h7c3s3c 
KdJs6h2s2c QdJh7s3s3c Kh5h5d3c2h 7s6d4c3d2h 
Th6s6c5d2d 8h7c3d3c2h Ks6c5c3h2c Qh9h6c3h2s 
KdQs6c3h2h 7h6h4c2s2h QhJh6h2s2c Jd9d7d3s3d 
Ks7d5s3c2s KcJc5c2s2c Qc9c7h7d2c 7s6s4s4c2h 
Kh9c6s6d2s QhTc7d3h2h Jc7d6d3d2c 9h9d7s4c2s 
Td7s6h2d2c TsTh7d3s2c 8d8c7s3c2h Js7h7d6s2c 
QdJs7c3h3c Ac8d6s3h3d Jd8s6c4h2h Ks8c5d4h2d 
Qs6s4c3s3h Tc6h3h3c2h Qc9c8s3h2c Qd8s5s5c2s 
8h7c3c2h2c QhJs7d4d2c Ac5d4s4d3d Qc9c7c5c2d 
9d7s5h3h2h Kc9s9c4h2c QhQdQcTc8s KcTs6h3h2d 
Jc9s4h3h3d Kc9d7c4h2c 7h4h4c3c2c KsQc7s7h2s 
Kd9d5h2s2d Ac7d5h2s2d KhJc8d3s3c Qh5d4s4d3c 
8c6s4c3h2d Ts9s5s3c2s AcQs7s2s2d Jh6d6c4s2h 
AhQs4c3c2c KsTh4c3d2h Qs8d6h3d3c Tc8h5c2d2c 
Jh9d4c2s2h 9c8c7d3s2h Qd7d6s6d2h 8c5s5h4c2c 
Qh9c7h3d2s QhJc7s4s2d Qs6d4h4c3h 9c6d6c4c2h 
KsQd8c4c3c 7d5d5c3s2h Qd6c4h3s3h 9s4s4c3d2c 
KsJs7h3d2s Ks9h5d4d3d 9d7d7c4d2h KsTs7s2h2d 
QhTs4d3s2s Td7d5d4h2d 8h8c6d3d2s Qh9d4s2h2c 
8s7h4h3h2s Qc5s4c2h2d Qc8h4d2h2d 8h7h4h3s3h 
7d6d4d4c2s QcJh7h3s3h Ks8h6d4d2c 8h7c4h2h2d 
Kh5d4s4c2s Jh7c6d5d2d 9d8h8d4d2d Ac9c7c4h2c 
Qd7h7d6c2d Kh8s8d5c2c Kd8h6h6c2h Ac8d6d4h2d 
AcKd7h3s2h 9h7s7c4h2d Th6d4c3s3c Qs9s8c3s2h 
Qs9c7h7d2c 8c7s3s2d2c Ts6h4h4c3d 8s8d5d3d2d 
8h7c3h3d2c KdJs7s7c2s QhThTdTc6d Qs5c4d3s2s 
9s9c8d3d2d As9s7d4s2s Td7c4h3s3h Js5d3s2h2d 
5h5d4s3h2c Th8h5s3c2d AsQc7c2h2c 9c7s7c4d2c 
8c7h5s3d2d Td9h7s3d2d KdJs6h6c2c Jd8d7d7c3d 
9d6h6c3c2s 9s7c4s3c2s Kc6h6d4s2h Qh9s4c3s3d 
8s7c3h3c2s 9h8s7d4d2d Qd6c5s3d2d Tc8s5c2h2c 
Ts6d5h5d2d Th8s5c3d2h Qd5h4h4c3s KsJd7h7c2c 
AhKs7s3s2s Ts5s5c2s2h JdTd7d3d2h Kc7d5h4s2h 
Jh5s3h2s2h Qh7s7c5s2d Js5h5c4d3h Qd9d5c3s2d 
AdJh6c4s2c Ks7s5c4s2s AdKc7h3s2h Qd8s3c2s2d 
KdJs6h6c2h 9h9d7c4c2c AhQc7h7d7c Jd8h5d3d2c 
9s8d4d3s2s KdTc8h3s3h Qd8d5h2s2d Jd9c4s2h2d 
Ah9c6s6d2s Tc8h4s3s3d QcTd7h3s2d Jd9c6s4d2d 
Qh9h5s2h2c Tc7h3h3d2c 9c7d5h3s2h 9s9c3s3h2d 
7c5h5c3d2s Jd8s6s4s2c Kc8h7h3d2d Kh7h7d4h2c 
Qs8s7d3h3c KdQs4s3s2s 9c5h5d4s3h Jd8c7h4s2c 
Th5c3s2s2h 9d8h8c3d2d 9d4s4d3c2s KcTc8h3c2c 
Ad7c6h4s2c Qc5h5c4s2c Jh7h6c4d2s Ks9d6s3s2c 
Tc7c3s2s2d As7s5s3s2c Qd7h5h5c3h Th8h5h2s2d 
KcTd6h3h2s Js6h3h3c2s Js8h7h4h2c Qd7s5s5h3s 
Jc7h6d5s2s QhJsJhJc7s QdJh8d3d2s Qs5s4c3s2d 
KhJh4h3h2d 9d7c6c3h2s AhKc8s3d2s 7d6h4d2s2d 
QsJs6c2s2h As5c4d4c3c Kh7c5h2h2d Jd7d7c6h2d 
Qd9h8c3s3c JsTs6s3s2d AdJh3h2s2c Jc5h4c3d2s 
