Kh9s7d7c2c 
Qh9c5s2s2d Jd9s4h4d2d 9d8s4h4d3d 9s7d6c3h2h 
Jc3s3d2h2c Jh5d4s3h2c Ts8h6c3h2d Qs9h8d3h2c 
Tc5s4h4c3c Kd8d7d3s3c Ah5c4s3d2d Jc7c5d2h2c 
KhQd8s3d3c Qc8h7s3s2h Tc9c5c2d2c Td6h5c3s2s 
Tc9s4c3c2d AcQs9s3s2s As7h3s3c2s Jc9c7c3d2s 
Th8h4c2h2d Tc9c4h4d2c JhJdJcTh3d Qc9d8h4h2s 
Js8d6s4s2s AhQd9s3s2s Jc7h3s2s2c KcTh4h3d2h 
9s4h4d3s2d KdQd8d3h2s Ks8h4s4c3s Ks9h6s2s2d 
8h7s6h3d2c 8d4d3s2s2h Qh7d3s2h2d Jc9d4c3s2h 
Td9c4d3d2s JhTh7d3h2h JsJh7s3s2c QdJs8c3h2c 
Ah8d5s2d2c TdTc7h3c2c KsTd8c3h2c 6h5s5c3h2h 
Jh6h5h4h2c 8d7s6s3h2c Js9h4c3d2s Jh8c7s4d2s 
AsTd3h2d2c Th6c4s2h2d Td9d3s3d2h KcJs8s3d2h 
9d8c4d3s3d Qh9c8s2s2d Jc6s4h4c2d 9c5h4s4d3h 
QsJsJhJc3c TdTc7c3c2h KsTh8d3c2d Jh6c3h2d2c 
Qd5d4s4h2d Js7c3s2d2c KcQc8h3s3c 9h4h4d3d2c 
Kd9s5c4h2h Ts7s7c6s2s Qd7c5c3s3c Jc9h4c3d2s 
Qs6d5c3h2c QcJd6s2s2h Ts5h5c4s3s Qc9d5s3d2h 
AdKs8h3h2h 7s7h4c3h2d Ah7c5s3c2d 9s9h3c2d2c 
JhTh6h2h2c 8d8c4d3s2h Td6d3c2d2c KdQc7h3c2s 
Jh6s6c5c2c 9d9c3s3c2c KsTc4c2h2d Jc7s3s3d2c 
Tc5s4c3h2d 9d7c6h3s2h KdTh8s3h2h KdQc8s8h2s 
Jc9c6h6c2c AcTs7s3d2s KcQs8h3s3d Jh7c5h3s2d 
Kh9h6d2h2c 9s5d4s4c3s 6h5c3s3h2h Js5h5c4c2d 
Qc9h6s4d2s 8c6s4d3c2c Js7c6c3d3c KhQs8c2s2d 
KdQs7h4c2h As9h8c3d2h Jd8c6h4h2h 9s8d7h3d2c 
Kc5d4s3d2d 4c3h3d2s2h Qc6h5s5d2d KsJc7s4s2s 
9s7h6c3s2s 5s3s3d2h2c 9s7h6s3d2s ThTd6s3s2s 
Kd9s7s5s2s As6h5d3d2c AsTc5h3d2h 9c6c4h4c3c 
QdJc7s7h2c KcTh7h2s2d Kh8c5d4d2d KsTh5d2d2c 
Jh6s6d4s2c AsJd4c3d2d Jh5s4h3h3c 7c5c4s4c2c 
9h6h4h4c3h Jd7s7c6s2h QdJc7s4h2s Jh7d5c4d2d 
AsJh6c2h2d Kc6d3s2h2c 9s8c7s3d2s Ah9d4h3h2c 
Js6s5s4s2h Jd9s6d2d2c 9d4s4h3d2s Ac5d4h4d4c 
Qh9s9c3d2c 9c5d4d3s3h Td8h5s3d2d Qs9h8c3h2d 
Ts9s5s2s2c Kc8c4s4h2d KcQd8c4c2c 8c7d4s4h2c 
Ac7c4h4c2c KcQc8c3s2h Qs8d5s3s2h Jd7s6s3s3h 
AcTs4h3d2s Qs8d7s4h2s Ad9s3h3d2d Kh4d4c2s2d 
Ah5s4s4h4d Ts9s7s3d2s Ad7s5s2s2h Kc8h5c3d2c 
Kd9h8s3h3c Kc8h5h3s3h Qc8s7h4h3h QdTh7d3c2d 
Qs8h7s4c2s Js6s5d5c2s Jh6s3s2h2d Td8d7d2d2c 
KcJc7d3c2s 9d8c4d3h3d Qs6d5s2s2c QhTc3s3d2s 
AsQd8d3d2d Kh9c4s4d2h KhJd7h3h2c Jc9d7s4h2d 
KcJs7h3c2c KsJh3h3d2h Jh7c3h3c2d Ad8s4s4h2c 
Kh9c6c4s2d KhTs8d3c2c Ad6h4s4c3h 8s5c4d3h2c 
AsTd6h3c2d Tc7c5d5c2s Js3h3c2s2d Jh9c6c4c2d 
Js8c5c2h2d AhQd8s3c2c As8c6d2h2c 8c4c3h2s2h 
7s6s4s2h2d 7s7c3d2h2c KdQc8h3s2c Kh9s6c4d2c 
Jh7h3s3c2s Jh5d4c2s2h 9s9d8d3d2d Qc9d7h3s3d 
Qd7h6s6h2c 9d6s6d3d2c Ac9c5c3s2c Kc9c6d3c2s 
KsTs4c3s2s QhJs6d3c2d 9d6c4d3s3d Qc9d5s3h2d 
KhJh8h2d2c Tc7s7c6c2c Th8d6h3h2s Jh9d4c2s2d 
Qs7d7c5c2c Jc8s7s6s2s Ac9c4s2h2c Ks8d4s2h2c 
9h5c4c3s3d Tc5s5c4d2h Qd6c3d2d2c Jh8c7d2s2c 
Js9d7s3c2s KcQd8c2h2c Td6d5s3c2d Js7h3s3d2h 
KcTd7h3s2h 8c4c3s3h2h Th8c7d3h2s Tc7c4s4h2d 
KdTh7c2s2h 8d5h4s3s2c Qd7h5s2d2c Jc9c8c3c2s 
8h7h7c3d2s QhQdQc9c5h 9s4s4d3d2h Kh8d8c4s3d 
Th5c3d3c2d 9s7s5s4c2s 9c8s7d3h2s 9c8s6h3h2h 
Tc6c4d4c2h Ad9c5s4c2h Ah8s6c4s2s Ac8h5h2s2d 
Kh8d4s2h2c Qc8s4h2d2c Jd9h6d3d2c Qd8c5s3d2d 
9h8h7d3h2c KdQdJd7d2d As9s9h9c5c Kc9h7c3c2d 
Ah8c4s3s2c AcKs8h3h2h Th8s8h3h2h 7s7d6d3d2c 
Td7c5s2h2d Js8d7d4h2d Js9s6s4s3s 8s6s5s3s2s 
Js7h7c4d2s 7h5s5d3c2c Qs8h6c2h2d Td4h3c2d2c 
Ac6s4s4d2h 7h5d5c3h2s Jh7d6d3c2c Ad9s9h4c2h 
9d7h6s3s2c KdJh7d3c2d As6c5d3d2h AdQc9c3c2c 
Qd8h6s3s3c Jh9c7s4c2d Qd8c6h4h2h Qs8c7s4h2s 
Jc6d5d4d2d Jh9h7h4s2h KsKhKcJs6d Td4s4d3c2c 
Ac6d6c3c2c ThTdTc8c6h 7h5s5d3h2c Jd4d3h3d2h 
Tc7d6h4d2d 7h5d4d2s2d Ks7h4c3c2h Ac9s7d4s2h 
8c6c5c3c2c KdJc3c2s2c 8h6d6c3s2s 9c6c4c3s3h 
Jc9s7h4s2s AcJd4s4d4c Jd9d8d3c2d 8h4d3s3d2h 
Tc8s6c3c2h Qh8h6h2d2c Js7h3s3c2h AcTc3c2s2c 
Ah9c5s4d2c KsJc7h3d2c Qc6s6d5h2h Jd9s9h9d8h 
Ac9d8h3h2h Ad9d4h2s2d 8s8d3h3d2d 7h5d4h2s2h 
9s5h5d4h2c 8c6h6c3c2s Kc7d5h4h2h KsKdKc8c2s 
7h6d4s4c2d Kd9d5d2s2h Th9h3s2h2d 9h7d6c3h2h 
QcTc7c6c2c Ac9s8s4s3s Ts7d5h3c2s 7d6s4h3h2c 
9c7c5c4d2c AcJc7c4c2c Kc8d5s3h3d 8h4h4d3h2d 
Ks9d5d4c2d Js5d3s3d2s Kd7d6d3s3d As6s3h3d2s 
Ah9h5h2s2h Jc6d6c5c2c Tc9c7c3c2d KhKdKcTs5d 
Ks8h6c4d2d Th9h3c2s2h 9d7c6c3h2c Qh8s7h4d2h 
Qs9d3c2d2c KdTh8s3s2s As9h4s3s2d 9c8c4h4c3s 
Kd8c6c4c2s AhJs6c4c2c Ts7c5d4c2c Ac7d3s3c2c 
Ac6c4c2s2c Ts9c4d3s2s Kd8s7c3h2d Jh9d7h2s2h 
Jh9c7d4c2s 7s7h6s3s2c QhTh7h7c2h Tc6s5s4s2s 
8d6h4c3s2c Qh6c5h2s2h Qs8s7c4s2d Ts8s4s2d2c 
Qh8s7d4s3c Qs8d6c4c2c Qh6s4d4c3s Js8s4h4c2d 
Ks9d8h4h4c Td8d4s3c2h Kd8c4h3c2h Jc9h7s3h2d 
Qh7c4d4c2d Qd7s7c5d2d 5h3h3c2s2d Qc6d4s3c2h 
KdTs8h3c2h Jd7d5c3h2s QsTh6c3c2c Kc7c5c2s2d 
Kd8h5s5c3s Ks8h4d2s2c Js9d4h3s2c Ad9s8c3h2h 
