8d8c4h3h2s 
AcQh7s3h2h Jd5c4s4d2d AdQh6c3s2s Qd6h4d3d2c 
Th8s6s3s2c KdQc9c3c2c Qs9h5h3c2h Ac9s6c4c2c 
5s4h4d3c2s Ts7s5h3d2c 9c7d6s3s2s Qs9c6h4h2h 
Qs9h5c3c2d KhQh7c3d2h KsJh8h3d2h Jh7s6s6c2d 
Qc7c6s4d2c Qh3d3c2s2d Jd8s5s3c2s 8s6d4d3c2h 
Tc7c4c3d3c Ks8s4h3s3c AcQs6d3h2h Qh6s3c2s2c 
Jd8h8d3d2c Ah8c6c2d2c KdJs8c3s2s JsJhJc9d8c 
Tc8c6s3c2h KsJh8c3h2h Qc6d4h4d2s KdJh6c3s2c 
As6d4c2h2c 8d8c5s5d5c Kh9c5h3h2h Qh7h6d3s2c 
Js8c4h4d2h Ks9c4h4d3h AdJh7s3c2s Qc9d3s3c2h 
AcQs6h3h2d Td8h5s3c2c 9s8s4d3s3c Qd8s7h4h2c 
Qh7s6d2h2c 9d8h3h3c2s Jh8d4s4d2c Td4h4c2s2h 
As8h5c3h2d 8d8c7d3s2d Qh7c5s4s2s 7s5h3s3c2d 
Jc7c6s4h2c Qc9h8s3d2s 9d4s3h3d2h Td6h5c3s2h 
Ts7s5s5d2s Jc7d6s6d2h Jc9c6s2h2c Qh7h6c4d2h 
Ts8c6d3c2c 9c6d4h3s2h Kd9s8h2h2c KsJd4d3d2d 
Qd8d7s2h2c 9c7h4s4c2d Kh7s4h2d2c KsJd6h3c2c 
Qs6h5h3c2h Kd8c5d3d2h Qs3h3c2d2c Js9d3c2s2h 
AhTd5c3s2s Qc7h6s4h2d 8s7s7c3s2h 8c6c4h3s2c 
8h7h6h3c2s AhJd4s3s2c QdQc7s7h7c 7s6d4d3d2c 
Jh6s5c2d2c AsTc4h3h2d Jc9c7d3c2s Qh8c4h4d3h 
Qs6h5s3s2s Tc8s5c3d2c Ts6s6h3d2c 9d7s7c3s2s 
Qc7c4s4c3d 5s4d3h2h2c Kc6c4c3h2c Kh9h3s3d2c 
Jc7s7d6s2s Kh8d7c4s2s Ts6c5h3c2c KcQh8d3h2s 
AhQh7h3d2h Th6d5s2s2c Qh8c4h3s3h Jd5s4d4c2d 
Qs9c5d3h2h Tc6h4s3d2c Td9d4s3d2d Jc9d7s3h2s 
AsJh5h3h2h Kd9h4s4c3s 7s5s3s3h2c Jh9d4c3s2d 
Qd8d4s4d3h Th5s5c4c2d Qh9d6s3c2s Js4h3s2s2h 
Kh8d8c4d2s Qh9d5d3s2d 8c7s7c3h2c QsJs7s3s3d 
KdJhJdJc4h Kd7h6d3s2d 8s8c7s3s2d 6h5d3s3c2d 
KdQd7d7c2d Jh8d5s3c2d 9d6s4h4c2h QcJh7d3s2h 
Kh7s7c3h2d TsTd4h3d2d Ks8s8h3d2c Kd5d4h3d2d 
Qh9s9d4c2c Jd9h6h3c2h Ah8c5d3s2c Th6c5h3h2d 
Kh9d5d3c2s AhQs6d2d2c Kd9h8h4s2h Jd9h6c4c2c 
Ac9c6c2h2c Kd8d4c3s3d 9h9d9c7h6c AcTs6s3s2d 
Jh6d4h3s3h Ac5s5h3h2d 9c7h7d3s2s 9d6c4h2s2c 
8d7s6c3s2h 9d5h4h3c2s As6c5d3d2d Th6h5s2h2c 
KsJc7h2d2c Qs6s4s4d2h Jc8d5h3s2d Kc9s8s4d2s 
8c7d7c3c2s 9s4h3s3c2h 8s4h3h2s2c Qs9s8s2s2c 
Ts6h4s2d2c TsTh6s3s2s Ah5d5c3c2c JsJdJc9c6s 
Jd8s5h3s2c AsTc3h3d2c Ks6c4d3h2h KcQh7s7d2s 
Qh7d7c4s2h Qs9d7s2s2c Ks9s9h4s2s Tc8s7c3d2c 
Ks8c5c4c3c Th9c8h8d8c Qh8c6d2s2d Td8h5d3s2d 
AhTc4c3s2c Jh5c4d3s2h Tc6s5d3h2s 8d8c4c3c2s 
KdJd8d3s3d 8h6s4d3d2d KdJs8c3h3c Jc7h4s3h3d 
Jc7s5s5h2s AsJs6c3s2s Jd7d5s5d2d QdJs7h7c2h 
8h5s4h3c2h QsJh7d2s2c Kd9d8d2s2d Kc8c6c3s2d 
Jh9h7h4h2c QsTc7h3d2d Tc8d7c3h2c Jh7c4s4d3s 
QhJc8d3d2d Qd9h5c2s2h 9s5s4s4c3s Qh5s4s4c2d 
Js5s4c3h2s Qc7c4s3s2c Js6c3c2s2c KhKdKcQs2h 
As9d5h3c2d Qh9s8s3c2s Jh8c5s3d2c Qh9c7c4c3c 
QsTd4s3s2s As7h5h3d2h 7c5d3s3h2h 7s7h4s3d2s 
Qs4s4h3c2d Ah9c7c2d2c TsTc7h3d2d Qd9h9d9c8c 
Ac5h4s2s2d Ts7h5h3d2c Qc7s6s6h2s Jh9d6c3h2h 
AdJc7h3s2h KcQc8h3c2d QcJd7h2s2c 7h5d3s3h2c 
Jh9d6c3d2s Td7h6h2s2c KdQd7h2s2d 5d4h4c3s2s 
Kd9h5s3h2c Qd6s5h2h2c Qh9h7h3h3c Ks8h8c4h3d 
Kd9c3s3d2h Kc7h4s3h3d KdJc7h2s2c Js9d4h3c2d 
Js7s5s2h2d 9d4c3c2s2d AcJs7h3d2h Jh5s4d3d2c 
Jd7s5s4s2s Ad8s5h3h2c Qh8d5s3c2d QcJc7c3d2h 
