Kd8s4h3h2s 
Jc8c4h3d2s KhTc7h7d7c Qs9d8d4d2d Qc6s5s2s2h 
Tc8d6d3d2d Tc5s5h4d2d Jh4h3c2h2c KcJs7h3d2d 
QsQhQdJs8c 8c3s3h2s2d Kd9s6h3c2s Jc7h6s4h2h 
KhQs8d3d2c Kd9h5s3c2s Qd5s5c3s2h Jc9d6s3h2h 
Js9s6h3s2s Tc6d4s2h2d Qs7d6d4c2d Ts5s4s3s3d 
Ts8d4h3h2h Jh6h4h4d2c AsTs9s9h9c Jh5s5d3h2c 
TsTd4d3d2d Kh9d6d2d2c Ah7c4d4c2c 9h4h3s3h2s 
Ks9c6h3d2c Td7d7c3d2s Qc8d7h4d2s Jc8d6c3c2h 
Qd8c7c4c2s 9s9d4c3h2h Qs6d5d2h2c Qh7d4s4c3s 
JsJhJc9h5s AcJs6s3d2s 9s6s4c3s2d Qc8h5h3h2s 
9c7d6c3c2c Jd5s5d3c2d Ac8h6c3c2c Jc8h4d2s2h 
Ts6h4c3d2d Kd5s5d3d2d 8c5c3d3c2s Kh9c8d4c2c 
Tc7h7c3c2s Ks7d3h2h2d QdJd7c3d2h Jc8s8c3d2c 
KsQh7h3d2h Qd8d4s4d2h Qs9c7d4h2c Kc8d7d4d3d 
Qh6d5d2s2d Qc5d4s4d2d Kc9c7c4d2c TsTdTc7d6c 
Td5s5h4s2s Qc9h3c2s2d Ts7s4h4c2s 9d4s3h2s2h 
Jd6d4h3d2c Td5d4c3s2h Qs5s3h3d2c Js7d6c4c2c 
Td7s7c3c2c Kd8c7h2s2c Qs7h5d3s2s 9d7c4s4d2d 
5s4s3d2s2c Qd8s7s3h3c As9h5c3d2d 9s6c4h3h2d 
Ts6h4s2s2d Qc9c7c2s2d Qc8d5h3s2h Ah5d4d3d2d 
Kc3s3d2s2h Qc7c3h3c2h Js7s5s3d2c Jd6s5s2h2c 
Th6s4d3c2c Ad9h6s4s2s Qh9d5d3d2d 8s8d7s3s2s 
Jh5c4h2h2d Js9h3d3c2d Qs7s5s2h2d Qs7s6s6h2s 
Qd8h4d3c2s Js7c5d3h2h Th8d5d3d2c KcJs8h3d2h 
9d6c4s2s2h Jd5h4d2d2c Tc7h5h2s2d Jd8c6c3h2s 
QsQdQcTc8c KdQd7d2s2c Ad8s7c3h2h 7d6s3c2h2d 
Th8c5c3c2c KhJs7d3c2d Th8s7d3c2d Qc6h5h2h2d 
Ad6s6c3s2h 9s9h4c3h2h Jh8c6c3s2d 7c5s3d2h2c 
Th6h4h3d2s 8h6h4h3h2c As7d4c2h2d 8c6c3s3h2d 
Ad8c4s4c2c Qc8d4h3s3d Jc9s9d9c7d Kd7h4s4d2d 
9c8c4d3h2s Th6h6c3h2d JhThTdTc5d 8d7c4s3c2h 
Ah7c6c3d2s Jh6c3d2d2c 9s9h9c7h7d KdQd7d2h2c 
Ts5d4s3s2c As8d8c3d2h 8c5c4d3c2c Td8s7h3s2c 
Kc7s7d4d2d Qs8d7s4s2s Qs8d5d3d2h Qs8d5h3h2h 
Qc7c5d3c2h 9d8d4s3c2h Ad7c4s2s2h Qs9s7d3c2s 
Qc7d4h2s2c Td7d4d4c2s Qs9s4c3s2d 6s4d4c3d2d 
KhKdKcTs3h Jd7d4s4c2h 9d5s5h3h2c Ac6h6d3h2s 
Kd9c8h8d8c Jh8h4h4c3h Jh5s4h3c2h Tc8s4c3h2c 
Qs7h4c2s2d Ks9s5s3h2s 8d3h3c2s2d Kd9s5c2h2c 
As8c4d2h2c KcJd8s2s2h 9d6h3d2s2d Qc9d7c4h2c 
Td6h6d3d2c Qd7c4h3c2h Js6d4c3h2s Qh6h5h4h2h 
8h4d3d2h2d 9d9c4s3c2c KhJs6c2d2c Tc6c4s3h2c 
As6h4h2h2d KdTsThTc9h 9d5s4d3c2d 9s8c3s2s2h 
Qc8s4d3c2h Qd6c4c3h2s QsQhQc9h4c Jc8s4d3h2c 
Jd7s5d3c2d 9h6s4h3d2h Jd8s8c3s2h QhJc7h3s2h 
Qd6h6c2s2c JsJhJc9c8d Td7h6h2h2c Js6h4h4d2c 
KcJs6s3s2d JsJhJd9d5s Ts7h5c3s2s Jd7d5s3h2d 
Th7s4s4c2s Ad8h5h3s2c Qh6c5c2s2c Kc8s8h4d2d 
5d5c4h3d2d Qc7c5s3c2d Js5c4c3h2c QhJsJdJc9c 
Qc7d6h4h2h Qs9h6s3s2s Ts7d5c2h2d Td8d3s3d2h 
Kh7d6d2s2c Qc8h4d3s2c Kd5h5c3s2c 8h7h6h3h2d 
8s7s4h3s2d Kc9d5h3s2s Qc6h4s4d2s 9h6s4c3c2c 
Kc9c4s4c3c 8h6d3d3c2s 7h5h4h3h2c Qs8d3c2d2c 
QsQdQc9s2c Kh7d5c3s2s KcJs8h3h2d QsQhQd9d4s 
Kc9s7h3d2s QhQdQc8h4d KdTh7h7d7c Jd8s4s3s3h 
Ah8s5s3c2d QsJc7s2s2h 5d4c3h3d2d Jh8d5d3d2s 
Tc5c4s4d2c QhTh3h2s2h Qh9c7d3h2h 4h4c3h2s2d 
Kh9s7s4d2s AsTd5d3d2d Js8c7h3s2d Ks9d5d2h2c 
Tc8c3d3c2s Kc5h4h2s2h AsTd6c3h2h 7c6s3s3d2h 
Ks9d9c3c2h Qd6d4d4c2d Td7h7c3h2s 8h6s3s3c2d 
9d8c7s3h2h 8d5c3h3d2d Jh9h7d3h2h 8d7c4h3c2s 
Th8h3s3h2d KcTc3d3c2c 7d5d3d2s2c Qd8d7s2h2d 
