9d6d3h3c2d 
Ad8s6s3s2h Qc5c3h3c2c Jh6c4d3c2s Jc6d4d3d2s 
Ts8s7s3s2c 9s8h4d3c2h Jd6s6c3d2d 8c7c6c3s2c 
Jc9c7c3c2d Qc8d6c3c2c KsQh8c2d2c As6h4h3d2h 
Qd7d5c3d2d Jd7d7c3s2d Qh8c3s3h2d Jc7h7d3s2h 
KdJc7s7d7c KcQc7c2h2c Qh7s7h2h2d As7c6s6h6d 
Qh8h4s3d2h Qc8s6s3d2s Ac8c4d3c2c 9s8c4h3d2c 
9h7s3s3d2s Jh7d4c2s2c Td7d7c3d2d 9s6h3d2d2c 
Kc7s5s3s2h 7h4s3h3c2h Ks8c5h3d2d JsJhJc9d8d 
8c7c3h2d2c Qc5s5h3h2h Kc9c4s3c2d 8h5d3d3c2d 
Qd4c3s2h2d Ad7h6c3h2h Js5s4c3s2s Ad9s4h3s2c 
Jd6h6c3d2d Ah6d4c3s2s Js6h6c3d2h 7h4s3d2d2c 
QsQhQcJh8h Ac6s6d3h2d Kh7d5d2d2c Ah9d5c3c2c 
Qh7c5c3s2c ThTc5s5h5c Qc8d3h2s2c Qs8c4h4c3c 
Qs9d7d3d2c Kc8c4h4c2c Kh6c4d3c2c KhKdKcJs5s 
Ks6s6h6d5h Kc7h7c3s2c 9h8s3s2s2c Jd8d6d3h2d 
Qc8s4s3s3d Ac7d4h3d2s Qs7d5d3h2d 8d5h3h2h2c 
Ah6c4s3c2d 8h7d4s3s2s Qc9c5c3c2c 9h7d3s3d2d 
6s6h6c5c4s As9c6h3d2c Ad4h3c2s2c As8c4h2h2d 
KsKhKd8s6s Jc7h6h4h2h As9s9d9c7h Kd5h3h2s2h 
Qh7s6h3c2h 8h7s4d3c2c Kh8c4s4c2d Ac6h4d3s2s 
KcTsThTc5s TsThTd6s5h Ac7h7d7c3d Kc6h3s3d2d 
7h4d3c2s2c 4h4d4c3d3c Th7c4h3s2h 9d5h3s3c2c 
KcQc8c3h3c 9c8c4c3c2d Qd8c6c3s2c 7h6s6h6c5s 
Js4s3d2h2c 9d7h3d2s2d Ts6d4s3s2s Qd9d7d4c2d 
8d7c4h3s2d Kd6s6h3s2s Js6s6c3d2s Ad6h4s3h2c 
JsJdJcTh7s Qd7s3s3h2h Th7c5c3c2c Jd5d3s3h2c 
Ad9c7c3c2c As9h5s5h5c 9d5h3s2d2c AcTsThTc7c 
Qh5c3s3d2c Qd6s3d3c2d Qs5s3s3d2s 9h8h3s3h2h 
Th7s4d3c2c Qc9h4d3d2d Kh8c7s7h7c 7s5s3s3c2s 
Js6d6c3s2h Qd5s5h3h2h Qh9d7h4h2h Qs4h3s3d2s 
Jh7c6h2s2h Qc4c3s2h2c 9d5d3s2h2c Jh8s3h3c2d 
Ah5c3d3c2c Jd7h3c2h2c 8c6d3c2s2h 6s4s3s2h2c 
Ks8h5s3s2s 7c4h4d3c2s Tc7h6s3s2s Qh7d6c2s2c 
Qc8h6s3d2s Qh9d4c3c2s Th6c3h3d2s Qs5s3d2s2h 
Ad5c3c2s2h Ah4s4c3d2d 8c6d3s2h2d Kh9s3h3d2h 
8c7c4c3h2d 8h4h4d3c2s Qc4s4h3s2d Qs8h7d3d3c 
Js6h4d3d2d 7h5h4h3h2h Qh9d7d3d2c Kh9h4d3h2c 
9c5c4c2d2c Ah7s6c3s2s Kc7c6c4c2c Qc9c8c3c2c 
9c8s4d3d2d As6d4d3d2h Ks8d5h3d2c Ah4d3s3c2s 
Ad9c4h3c2s 7c4h3s3h2d Qd4h4c3c2s Kd9d5d4d2d 
Ts6h3c2s2d 8h5s3s2s2c Kd9d7d3s2d KhQc7s3s2d 
9d7h4d3c2s Kh9c6s3s2s Ah8d4d2s2d Qs8d6h3h2h 
Qh5s4s3s2s Jh6s4s2s2c Js8c7h3h2d Ad8h4c3h2s 
9d5c3c2s2h 9c8c3s3c2d Th7h4h3c2d Ks8s3h3d2c 
Kc8h6s3s2d Jc7d4h4c2c QhJc7s3d2d AdJs2s2h2d 
Ah6h4h3h2h 9d7s4c3h2h Jh6s4s3d2c Qc9h7s4d2d 
Ks8d7d3h2c Jd5s3h2d2c Qh9d4c3d2s Qc7s6s4s2s 
